frame,caption
001.jpg,A beautiful sunset over a city. The sky is orange and pink. There are a couple of giant letters that spell out the name of the city. There is a large body of water in front of the buildings.
002.jpg,A man and a woman are standing in front of a large screen. They are both dressed in business attire. The man is wearing a dark suit and a red tie. The woman is dressed in a red and white dress. There is a large red screen behind them.
003.jpg,A man and a woman are standing in front of a large screen. They are both dressed in business attire. The man is wearing a black suit and a red tie. The woman is dressed in a red and white polka dot dress. The screen behind them shows a city with tall buildings. There is a red sky above the buildings.
004.jpg,A red and black sphere is shown. There are small white dots all over the sphere. There is a red light shining on the sphere and a black background behind it.
005.jpg,A red and white striped background has a silver object in the middle of it. There is a red stripe on the left side of the image. There are small dots on the white background. 
006.jpg,This is an image of a city street. The street is lined with tall buildings. The buildings are white and light gray. There is a sign on the front of the building that is yellow and black. There are a line of cars parked along the side of the road. The road has white lines painted on it. The sky above the street is light blue with white clouds in it.
007.jpg,Two tall buildings are shown. They are very tall and have many balconies on them. There are trees in front of the buildings. The sky is blue and there are no clouds in the sky.
008.jpg,There is a stage that has a lot of flowers on it. There are stairs leading up to the stage. There is a woman standing on a red platform in front of the flowers.
009.jpg,There is a large screen on a stage. There are people standing on the stage in front of the screen. There is colorful lights on the screen above the stage.
010.jpg,Two men are walking down a wet sidewalk. There is a white car behind them on the street. Next to the car is a large potted tree. There are buildings behind the car. 
011.jpg,There are two men sitting at a desk. There is a large blue printer on the desk in front of them. There are windows on the wall behind them. 
012.jpg,The image is an abstract background. The background is red and white. On the right side of the image there is a big red diagonal stripe. The red on the left side has a little bit of dots on it. The dots are small and are arranged in a triangle shape.
013.jpg,A woman is standing in front of a cityscape. She is wearing a red and white polka dot dress. She has short dark hair and is wearing earrings. The woman is holding a wallet in her hands. 
014.jpg,A woman is standing in front of a screen. She is wearing a red dress with white dots on it. She has short dark hair and is holding a wallet in her hands. There is a large cityscape behind the woman. 
015.jpg,A woman is standing in front of a city skyline. She is wearing a red and white polka dot dress. She has short dark hair and is wearing earrings. The woman is holding a small purse in her hands. There is a red sky behind the woman. 
016.jpg,There are several motorcycles parked in front of a building. The building is yellow and has white doors on it. There is a red sign on the front of the building. There are red flags hanging from the building above the doors.
