,start_frame,end_frame,start_time,end_time,text,text_EN
0,0.0,467.0,0.0,18.68,Kính chào quý vị Rất hân hạnh được gặp lại quý vị trong chương trình 60 giây của đ truyền hình thành phố Hồ Chí Minh chương trình Sáng nay thứ ba ngày 31 tháng 10 sẽ chuyển đến quý vị những nội dung đáng chú ý sau [âm đây các ,"Hello everyone. It's a pleasure to meet you again in the 60-second program of Ho Chi Minh City Television. The program This Morning, Tuesday, October 31, will bring you the following notable content [audio]. Here, "
1,467.0,531.0,18.68,21.24,nhạc] đây các tỉnh miền Trung chủ động với mưa ,"Music] Here, the Central provinces to "
2,531.0,594.0,21.24,23.76,Trung chủ động ứng phó với mưa lũ giảm thiểu thiệt và của ,provinces proactively respond to floods to and property 
3,594.0,646.0,23.76,25.84,giảm thiểu thiệt hại về người và của Tính B tre công khẩn ,to minimize human and property damage. Tinh B 
4,646.0,683.0,25.84,27.32,về người B tre công bố tình khẩn cấp sạc lỡ ,human Tinh B Tre announced emergency situation 
5,683.0,786.0,27.32,31.44,bố tình huống cấp sạc lỡ xâm thực bờ biển ở huyện Ba trip và giáo công trường đang dựng ở ham ,Tre announced an situation of coastal erosion in Ba Trip district and a construction in Ham 
6,786.0,816.0,31.44,32.64,huyện công trường đang xây dựng ở ham buốc của Đức ,"a construction school in Ham In Germany, at "
7,816.0,893.0,32.64,35.72,đang xây ham buốc của Đức ít nhất ba công nhân mạng thưa ,"school In Germany, at least three workers died. Ladies and "
8,893.0,1714.0,35.72,68.56,thiệt mạng thưa quý vị hai ngày qua các tỉnh miền Trung có mưa lớn có nơi trên 400 mm gây ngập lục ở các khu dân cư vùng trủng thấp mưa lũ cũng khiến giao thông bị ách tắc ở một số tiếng đường tại tỉnh Hà Tĩnh Hai phụ nữ và một trẻ em ở huyện Hương Khê đang đi trên đường ngập thì sảy chân vào bũng sâu bị nước cuốn mất tích khoảng 10 gi ngày 30 tháng 10 chị Tống Thị trang 33 tuổi và chịn th ho 31 tuổi trú xã Hà Linh huyện Hương Khê đi làm ở trại gà trên đường về nhà thì bị Nước Lũ cuốn mất tích ,"died. Ladies and gentlemen, over the past two days, the Central provinces have had heavy rain, some over 400 mm, causing flooding in low-lying residential areas. The flood also caused traffic jams in some areas. number of road noises in Ha Tinh province Two women and a child in Huong Khe district were walking on a flooded road when they stumbled into a deep pool and were swept away by the water and disappeared around 10:00 a.m. on October 30. Ms. Tong Thi Trang, 33 years old, and her sister, Th Ho, 31 years old, residing in Ha Linh commune, Huong Khe district, went to work at a chicken farm on the way home when he was swept away by flood waters and "
9,1714.0,1865.0,68.56,74.6,nhà thì bị cuốn mất tích đến cuối giờ chiều thi thể chị Trang được tìm thấy đến tối qua hàng chục người vẫn chị Hoa ,"he was swept away by and disappeared. By late afternoon, Ms. Trang's body was found. Last night, dozens of people were Ms. Hoa. in "
10,1865.0,2733.0,74.6,109.32,người vẫn đang tìm kiếm chị Hoa còn tại xã Hương Thủy lúc 15:30 cùng ngày em Nguyễn Văn Dũng 13 tuổi đi bộ trên đường ngập nước gần nửa mét thì bị sẩy chân và vũng nước sâu và bị nhấn chìm đến hơn 20:30 thi thể nạn nhân được tìm thấy tại huyện C Lộc chính quyền cũng kịp thời dùng xồng máy tiếp cận giả cứu chính công nhân đang thi công cao tốc bị nước lũ cô lập giữa Lãng trại gần sông già đoạn qua xã Sơn Lộc trước đó do mưa nhỏ nên những người này chủ quan sau đó nước dân nhanh không kịp rời đi trong đợt mưa lớn lần này ảnh hưởng nặng nhất là Hà Tĩnh gần 500 nhà hơn ,"were still looking for Ms. Hoa. in Huong Thuy commune at 3:30 p.m. on the same day, 13-year-old Nguyen Van Dung was walking on a flooded road of nearly half a meter when he lost his footing in a deep puddle and was submerged. At more than 8:30 p.m., the victim's body was found at Huong Thuy commune. C Loc district, the government also promptly used motorboats to rescue the workers who were constructing the highway, isolated by floodwaters between Lang Trai near the old river, passing through Son Loc commune. Previously, due to light rain, these people were subjective. After that, people were unable to leave in time during the heavy rain. This time, Ha Tinh was most affected, nearly 500 houses more "
11,2733.0,2840.0,109.32,113.6,nhất 500 nhà dân bị ngập cao hơn nửa mét đường Hồ Chí Minh quốc ngập từ 30 ,"most affected, houses were flooded more than half a meter high on Ho Chi Minh flooded from 30 "
12,2840.0,2872.0,113.6,114.88,Minh quốc lộ 15 từ 30 đến 70 ,"Ho Chi Minh Highway 15, from 30 to 70 "
13,2872.0,2927.0,114.88,117.08,lộ 15 đến 70 cm đường sắc Bắc gián đoạn V sạc ,"Highway 15, to 70 cm on the North-South Section V caused "
14,2927.0,3117.0,117.08,124.68,đường sắc Bắc Nam V sạc lở hơn 4500 học sinh phải nghỉ học Dự báo mưa ở Hà Tĩnh còn kéo dài tới ngày 11 trước ,"on the North-South road. caused landslides, more than 4,500 students had to miss school. The rain forecast in Ha Tinh will continue until November due to "
15,3117.0,3960.0,124.68,158.4,còn ngày 2 tháng 11 trước diễn biến phức tạp của tình hình mưa lũ ban chỉ đạo quốc gia về phòng chống thiên tài yêu cầu các tỉnh từ Nghệ An đến Quảng Ngãi theo dõi chặt chẽ dự báo thời tiết cảnh báo về mưa lớn ngập lục lũ quét sạc lỡ đất thông tin kịp thời đến các cấp chính quyền người dân biết để chủ động phòng tránh mưa lũ tại Hà tỉnh đã làm nhiều điểm bị sạc lỡ và đất đá tràn lên đường rây tiếng đường sắt Bắc Nam bị chỉ cắt và bắt buộc phải cấm chạy tàu qua vào rả sáng ngày 30 tháng 10 ngay sau khi sự cố xảy ra các đơn vị đã nhanh chóng giải tỏa hành khách tập trung mọi nguồn lực để khắc phục cố hai chuyến ,"will November 2 due to the complicated developments of the rain and flood situation. The National Steering Committee on Disaster Prevention requires provinces to Nghe An to Quang Ngai closely monitor weather forecasts to warn of heavy rains, flash floods, and timely information to authorities at all levels to proactively prevent rain and floods in Ha, the province has done many things. The charging point was missed and soil and rocks spilled onto the road, causing the North-South railway to be cut off and forced to stop trains from passing through in the early morning of October 30. Immediately after the incident, the units quickly cleared the passengers. Customers focused all resources to fix the problem of two "
16,3960.0,4004.0,158.4,160.16,sự hai chuyến tàu se1 từ ,"of two trains, SE1 "
17,4004.0,4064.0,160.16,162.56,se1 từ Hà Nội vào và se20 từ Đà Nẵng ,SE1 from Hanoi in and SE20 from Da 
18,4064.0,4120.0,162.56,164.8,vào và Đà Nẵng ra phải những hoạt với khoảng gần 400 ,"in and Da Nang, causing with nearly 400 "
19,4120.0,4212.0,164.8,168.48,những hoạt động khoảng gần 400 hành khách ông Trần Anh Tuấn phó tổng giám đốc tổng đường sắc Việt ,"causing operations nearly 400 passengers, Mr. Tran Anh Tuan, Deputy General Director Vietnam Sugar "
20,4212.0,4235.0,168.48,169.4,giám đốc tổng công ty đường sắc Việt Nam cho ,General Director of Vietnam Sugar Corporation. 
21,4235.0,4362.0,169.4,174.48,tổng công ty Việt Nam cho biết toàn bộ hành khách đã được chuyển tại bằng xe ô tô chuyển qua tàu để chi duyển lịch ,"Director of Sugar Corporation. said that all passengers were transferred by car to the train for further transportation schedule, "
