n,pts_time,fps,frame_idx
1,0.0,30.0,0
2,0.0333333,30.0,0
3,3.03333,30.0,90
4,10.0333,30.0,300
5,16.7,30.0,501
6,17.9667,30.0,539
7,23.1,30.0,693
8,28.0667,30.0,842
9,31.8667,30.0,956
10,35.1,30.0,1053
11,42.1,30.0,1263
12,49.1,30.0,1473
13,53.3667,30.0,1601
14,55.4667,30.0,1664
15,59.4667,30.0,1784
16,63.0333,30.0,1890
17,69.2333,30.0,2076
18,74.5667,30.0,2237
19,81.1667,30.0,2435
20,83.3667,30.0,2501
21,86.4667,30.0,2594
22,90.0667,30.0,2702
23,90.9667,30.0,2729
24,97.9667,30.0,2939
25,101.967,30.0,3059
26,105.033,30.0,3150
27,109.9,30.0,3297
28,112.9,30.0,3387
29,117.8,30.0,3534
30,120.9,30.0,3627
31,124.567,30.0,3737
32,126.067,30.0,3782
33,131.1,30.0,3933
34,132.567,30.0,3977
35,138.067,30.0,4142
36,141.667,30.0,4250
37,144.8,30.0,4344
38,150.7,30.0,4521
39,153.7,30.0,4611
40,156.767,30.0,4703
41,160.467,30.0,4814
42,162.467,30.0,4874
43,164.067,30.0,4922
44,168.6,30.0,5058
45,175.6,30.0,5268
46,182.2,30.0,5466
47,186.5,30.0,5595
48,191.667,30.0,5750
49,193.5,30.0,5805
50,196.0,30.0,5880
51,197.4,30.0,5922
52,201.567,30.0,6047
53,203.367,30.0,6101
54,207.2,30.0,6216
55,209.4,30.0,6282
56,213.267,30.0,6398
57,216.367,30.0,6491
58,219.767,30.0,6593
59,222.033,30.0,6660
60,228.767,30.0,6863
61,234.167,30.0,7025
62,238.567,30.0,7157
63,239.567,30.0,7187
64,242.567,30.0,7277
65,248.9,30.0,7467
66,255.9,30.0,7677
67,259.667,30.0,7790
68,264.367,30.0,7931
69,268.3,30.0,8049
70,272.233,30.0,8166
71,278.0,30.0,8340
72,284.033,30.0,8520
73,287.6,30.0,8628
74,293.4,30.0,8802
75,298.233,30.0,8946
76,302.167,30.0,9065
77,307.667,30.0,9230
78,311.833,30.0,9354
79,315.667,30.0,9470
80,322.633,30.0,9678
81,329.233,30.0,9876
82,333.167,30.0,9995
83,337.167,30.0,10115
84,340.2,30.0,10206
85,344.167,30.0,10325
86,349.2,30.0,10476
87,352.1,30.0,10563
88,355.467,30.0,10664
89,360.367,30.0,10811
90,362.1,30.0,10863
91,364.1,30.0,10923
92,368.9,30.0,11067
93,370.633,30.0,11118
94,375.467,30.0,11264
95,376.033,30.0,11280
96,381.2,30.0,11436
97,383.567,30.0,11507
98,386.767,30.0,11603
99,389.033,30.0,11670
100,391.433,30.0,11742
101,393.5,30.0,11805
102,396.833,30.0,11904
103,399.7,30.0,11991
104,401.467,30.0,12044
105,403.467,30.0,12104
106,408.7,30.0,12261
107,415.7,30.0,12471
108,417.5,30.0,12525
109,418.967,30.0,12569
110,425.967,30.0,12779
111,428.967,30.0,12869
112,432.0,30.0,12960
113,433.0,30.0,12990
114,439.433,30.0,13182
115,442.4,30.0,13272
116,444.4,30.0,13332
117,449.767,30.0,13493
118,454.6,30.0,13638
119,457.667,30.0,13730
120,459.667,30.0,13790
121,463.633,30.0,13908
122,469.267,30.0,14078
123,472.7,30.0,14181
124,479.7,30.0,14391
125,486.367,30.0,14591
126,492.367,30.0,14771
127,496.367,30.0,14891
128,500.633,30.0,15018
129,502.633,30.0,15078
130,506.433,30.0,15192
131,509.033,30.0,15270
132,510.7,30.0,15321
133,513.967,30.0,15419
134,517.4,30.0,15522
135,524.4,30.0,15732
136,527.4,30.0,15822
137,532.833,30.0,15984
138,538.367,30.0,16151
139,543.767,30.0,16313
140,549.7,30.0,16491
141,554.8,30.0,16644
142,556.467,30.0,16694
143,563.467,30.0,16904
144,570.267,30.0,17108
145,575.233,30.0,17256
146,581.3,30.0,17439
147,584.3,30.0,17529
148,588.967,30.0,17669
149,591.967,30.0,17759
150,598.967,30.0,17969
151,604.3,30.0,18129
152,611.3,30.0,18339
153,615.0,30.0,18450
154,621.633,30.0,18648
155,628.633,30.0,18858
156,632.233,30.0,18966
157,637.7,30.0,19131
158,641.8,30.0,19254
159,646.0,30.0,19380
160,648.067,30.0,19442
161,655.067,30.0,19652
162,660.867,30.0,19826
163,663.867,30.0,19916
164,669.7,30.0,20091
165,676.2,30.0,20286
166,679.9,30.0,20397
167,684.1,30.0,20523
168,688.567,30.0,20657
169,694.467,30.0,20834
170,695.267,30.0,20858
171,701.6,30.0,21048
172,707.767,30.0,21233
173,714.167,30.0,21425
174,714.7,30.0,21441
175,715.867,30.0,21476
176,720.467,30.0,21614
177,723.2,30.0,21696
178,726.833,30.0,21804
179,733.0,30.0,21990
180,733.4,30.0,22002
181,738.4,30.0,22152
182,745.033,30.0,22350
183,748.033,30.0,22440
184,754.033,30.0,22620
185,758.033,30.0,22740
186,760.7,30.0,22821
187,767.3,30.0,23019
188,772.8,30.0,23184
189,773.8,30.0,23214
190,780.367,30.0,23411
191,784.2,30.0,23526
192,787.1,30.0,23613
193,794.1,30.0,23823
194,797.633,30.0,23928
195,801.4,30.0,24042
196,805.067,30.0,24152
197,806.5,30.0,24195
198,812.667,30.0,24380
199,817.367,30.0,24521
200,818.367,30.0,24551
201,822.633,30.0,24678
202,825.0,30.0,24750
203,829.4,30.0,24882
204,833.4,30.0,25002
205,836.6,30.0,25098
206,840.2,30.0,25206
207,844.433,30.0,25332
208,846.633,30.0,25398
209,853.633,30.0,25608
210,860.2,30.0,25806
